"conference_acronym","conference_name","conference_location"
"IEEE LA-CCI 2018","IEEE Latin American Conference on Computational Intelligence 2018","Guadalajara, Mexico"
"SIMBig 2018","5th Annual International Symposium on Information Management and Big Data","Lima, Peru"
"ALA 2018","Adaptive and Learning Agents Workshop @ Federated AI Meeting 2018","Stockholm"
"IDEA 2018","KDD Workshop on Interactive Data Exploration and Analytics (KDD-IDEA) 2018","London, UK"
"QML 2018","KDD Workshop on Quantum Machine Learning","London"
"KI 2018","The 41st German Conference on Artificial Intelligence","Berlin, Germany"
"BOCIA-CI-SI 2018","Special Issue on Benchmarking of Computational Intelligence Algorithms in Computational Intelligence","N/A"
"ICANN 2018","27th International Conference on Artificial Neural Networks ","island of Rhodes Greece"
"Big Data in Speech Computation 2018","Special Session Big Data in Speech Computation","Leipzig, Germany"
"SPECOM 2018","20th International Conference on Speech and Computer","Leipzig, Germany"
"ATBD 2018","Applications and Technologies in Big Data ","Niagara Falls, Ontario, Canada"
"IEEE IoT J - SI on AI IoT 2018","IEEE IoT Journal - Special Issue on AI-Enabled Cognitive Communications and Networking for IoT","N/A"
"DeepGlobe 2018","A Challenge for Parsing the Earth through Satellite Images - CVPR18 Workshop","Salt Lake City, Utah"
"S+SSPR 2018","IAPR Joint International Workshops on Statistical Techniques in Pattern Recognition (SPR 2018) and Structural and Syntactic Pattern Recognition (SSPR 2018)","Fragrance Hill, Beijing"
"BMVC 2018","British Machine Vision Conference","Newcastle, UK"
"CD-MAKE 2018","IFIP Cross Domain Conference for Machine Learning and Knowledge Extraction","Hamburg"
"UKCI 2018"," The 18th Annual UK Workshop on Computational Intelligence","Nottingham, UK"
"ICSM 2018","International Conference on Smart Multimedia","Toulon, Cote D¡¯Azur, France"
"CLIC 2018","CVPR 2018- Workshop and Challenge on Learned Image Compression ","Salt Lake City, Utah"
"ARIAL@IJCAI 2018","2nd Workshop on AI for Aging, Rehabilitation and Independent Assisted Living","Stockholm, Sweden"
"DISA 2018","World Symposium on Digital Intelligence for Systems and Machines","Kosice"
"IEEE CIBCB Late-Breaking Abstracts 2018","IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology - Late-Breaking Abstracts","St. Louis, MO, USA"
"MLHC 2018","Machine Learning for Healthcare 2018","Stanford University, Stanford, CA"
"MASC-SLL 2018","2018 Mid-Atlantic Student Colloquium on Speech, Language and Learning","UMBC, Baltimore, MD"
"The AI Conf 2018","The Artificial Intelligence Conference London","London"
"PACMA 2018","Physiological and Affective Computing: Methods and Applications","Melbourne, Australia"
"AI-science 2018","The 1st Autonomous Infrastructure for Science workshop","Tempe, AZ, USA"
"IEEE ICTS4eHealth 2018","IEEE Workshop on ICT Solutions for eHealth","Natal, Brazil"
"LA@IV 2018","Symposium on Learning Analytics, at the I.V. Conference, 2018","Salerno, Italy"
"Springer Special Issue 2018","Special Issue on Soft computing Techniques and Applications  for Intelligent Multimedia Systems","N/A"
"MLCS 2018","First workshop on Machine Learning for Computing Systems","Tempe, AZ, USA"
"BDAA 2018","The 5th International Symposium on Big Data Principles, Architectures & Applications (BDAA 2018)","Orl¨¦ans, France"
"ECML-PKDD 2018","European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases","Dublin, Ireland"
"AIML 2018","ADVANCES IN AI AND MACHINE LEARNING: RESEARCH AND PRACTICE, IEEE Workshop","Tokyo, Japan"
"SPIC: Tensor Image Prococessing 2018","Signal Processing: Image Communication: Special Issue on Tensor Image Processing ","N/A"
"ECDA 2018","European Conference on Data Analysis","Paderborn, Germany"
"PyDataBerlin 2018","PyData Berlin 2018","Charite Campus Berlin"
"ACDL 2018","Advanced<U+00A0>Course on<U+00A0>Data Science and Machine<U+00A0>Learning ","Certosa di Pontignano - Siena, Italy"
"LOD 2018","The 4th Annual Conference on machine Learning, Optimization and Data science","Volterra (Pisa), Tuscany, Italy"
"LearnAut 2018","[deadline extension] Learning and Automata (LearnAut) -- FLoC 2018 Workshop","University of Oxford, United Kingdom"
"PRICAI 2018","The 15th Pacific Rim International Conference on Artificial Intelligence","Nanjing, China"
"S4D 2018","Research Summer School on Statistics for Data Science","Caen"
"WiCV 2018","Women in Computer Vision Workshop at CVPR","Salt Lake City, Utah"
"SAEOpt 2018","Workshop on  Surrogate-Assisted Evolutionary Optimisation","Kyoto, Japan"
"Emoji 2018","Emoji2018: 1st<U+200B> International Workshop on Emoji Understanding and Applications in Social Media","Stanford, CA"
"SCM 2018","XXI International Conference on Soft Computing and Measurement","Saint-Petersburg, Russia"
"NTIRE 2018","CVPR 2018- New Trends in Image Restoration and Enhancement workshop and challenges on image super-resolution, dehazing and spectral reconstruction","Salt Lake City, Utah"
"STaR 2018","Workshop on Designing Resilient Intelligent Systems for Testability and Reliability","Seattle, USA"
"WARD 2018","Workshop on the Autonomous Design of Robots at ICRA 2018","Brisbane, Australia"
"SNSP 2018","2018 International Conference on Sensor Networks and Signal Processing","Xi`an, China"
"RO-MAN  2018","27th IEEE International Conference on Robot and Human Interactive Communication ","Nanjing and Tai¡¯an, China"
"TSP 2018","2018 41st International Conference on Telecommunications and Signal Processing (TSP) - IEEE R8 | IEEE Xplore<U+00AE> | SCOPUS","Athens, Greece"
"FacesMM -  2018","Faces in Multimedia in conjunction with 2018 ICME ","San Diego, CA"
"Biometrics - TSP 2018","Workshop on Recent Advances in Biometrics and its Applications | 2018 41th Int. Conference on Telecommunications and Signal Processing (TSP) | IEEE R8 | IEEE Xplore<U+00AE> | SCOPUS","Athens, Greece"
"Biometrics - TSP 2018","2nd International Workshop on Recent Advances in Biometrics and its Applications on TSP 2018 | IEEE R8 | IEEE Xplore<U+00AE> | SCOPUS","Athens, Greece"
"COPA  2018","The 7th Symposium on Conformal and Probabilistic Prediction with Applications ","Maastricht, The Netherlands"
"IEEE SOFTNETICS 2018","IEEE International Workshop on Softwarized Networks Analytics","Montreal"
"4TH IEEE IMP 2018","4th IEEE CiSt'18 focused Conference on Information and Multimedia Processing","Marrakesh, Morocco"
"3RD IEEE MNLP 2018","3rd IEEE CiSt'18 focused Conference on Machine Learning and Natural Language Processing","Marrakesh, Morocco"
"MIX-AI 2018","MIX Summit and Conference on Artificial Intelligence and Machine Learning","Dublin, Ireland"
"DEW 2018","Data Exploration in the Web 3.0 Age (IEEE WETICE 2018 track)","Paris, France"
"AMFG 2018","The 8th IEEE Workshop on Analysis and Modeling of Faces and Gestures (CVPR Workshop)","Salt Palace Convention Center in Salt L"
"ECCV 2018","European Conference on Computer Vision","Munich, Germany"
"UAI 2018","The Conference on Uncertainty in Artificial Intelligence","Monterey, California"
"EMC^2 2018","Workshop On Energy Efficient Machine Learning And Cognitive Computing For Embedded Applications","Williamsburg VA"
"PBVS 2018","14th IEEE Workshop on Perception Beyond the Visible Spectrum in conjunction with CVPR 2018","Salt Lake City, Utah, USA"
"SRW@NAACL 2018","Wei Xu","New Orleans, Louisiana, USA"
"FastPath 2018"," International Workshop on Performance Analysis of Machine Learning Systems","Belfast, Northern Ireland, United Kingdo"
"EDM 2018","The 11th International Conference on Educational Data Mining ¨C EDM 2018 Preliminary Call for Papers","University at Buffalo, New York, United "
"J.UCS  2018","NEW TRENDS IN SEMANTIC WEB-BASED APPLICATIONS","N/A"
"SI:HEST4BDAA 2018","Big Data Research Journal Special Issue on Hybrid Evolutionary and Swarm Techniques for Big Data Analytics and Applications","Online"
"BIDMA 2018","International Symposium on Big Data Management and Analytics","Calgary, Alberta, Canada"
"SeFuMal 2018","Workshop on Sensor Data Fusion and Machine Learning for next Generation of Cyber-Physical-Systems","Ischia"
"ParLearning 2018","The 7th International Workshop on Parallel and Distributed Computing for Large Scale Machine Learning and Big Data Analytics","Vancouver, Canada"
"COLT 2018","Conference on Learning Theory","Stockholm, Sweden"
"COLT 2018","Computational Learning Theory","Stockholm, Sweden"
"WAC 2018","13th Biennial World Automation Conference","Stevenson, Washington, USA"
"ReQuEST-DNN 2018","1st Reproducible Quality-Efficient Systems Tournament: Pareto efficient deep learning","Williamsburg, VA, USA "
"WASMM 2018","Web and Social Media Mining","Toledo (Spain)"
"COST 2018","International Workshop on Cost-Sensitive Learning (at SDM'2018)","San Diego, California"
"XMLC for SocMed 2018","Extreme Multilabel Classification for Social Media In association with The Web Conference 2018, Lyon, France","Lyon, France"
"RFIW 2018"," [2018 FG Challenge] 2018 Recognizing Families In the Wild (RFIW)","Xi'an, China"
"ICML 2018","The 35th International Conference on Machine Learning","Stockholmsm<U+00E4>ssan, Stockholm SWEDEN"
"IFAC MICNON 2018","2nd IFAC Conference on Modelling Identification and Control of Nonlinear Systems","Guadalajara, Mexico"
"CogArch 2018","3rd Workshop on Cognitive Architectures ","Williamsburg, VA"
"WWW- SVQA 2018","Challenge@WWW 2018: Semantic Visual Question Answering","Lyon, France"
"R/Finance 2018","R/Finance 2018: Applied Finance with R","Chicago"
"Reservoir Computing @ WCCI IJCNN  2018","WCCI - IJCNN 2018 - Special Session on Advances in Reservoir Computing","Rio de Janeiro, Brazil"
"CI-SEPHUMMES 2018","Special Session on Computational Intelligence for Sensing and Predicting Human Mental and Medical State","Rio de Janeiro, Brazil"
"CAMSA 2018","2018 Computer Aided Modeling, Simulation and Analysis ","Monash University, Melbourne, Australia"
"EDC 2018","13th Annual Education and Development Conference","Bangkok, Thailand"
"CEMiSG 2018","5th International Workshop on Computational Energy Management in Smart Grids","Rio de Janeiro"
"QUALICO 2018","QUALICO 2018 - International Quantitative Linguistics Conference ","Wroclaw, Poland "
"IEEE-CEM 2018","IEEE Consumer Electronics Magazine - Special Issue on Innovative Application of Machine Learning for End Consumers","N/A"
"ICAUEC 2018","International Conference on Advances in Usability Engineering for  Computing","Pune India"
"GECCO 2018","Genetic and Evolutionary Computation Conference","Kyoto, Japan"
"SoAPS 2018","ECIR Workshop on Social Aspects in Personalization and Search","Grenoble (France)"
"FOR-LQ 2018","IEEE FG Workshop on Real-World Face and Object Recognition from Low-Quality Images (FOR-LQ)","Xi'an, China"
"ORSUM 2018","Workshop on Online Recommender Systems and User Modeling (The Web Conference 2018)","Lyon, France"
"WDCO 2018","The 1st International Workshop on Data Science & Optimization","Kenitra"
"BigNet 2018","The 3rd International Workshop on Learning Representations for Big Networks @ The Web Conference 2018","Lyon, France"
"MaLTeSQuE 2018","2nd Workshop on Machine Learning Techniques in Software Quality Evaluation","Campobasso"
"LION 2018","Learning and Intelligent Optimization","Kalamata, Greece"
"JEI IVADR 2018","Journal of Electronic Imaging Special Issue on Image and Video Analysis, Detection, and Recognition","N/A"
" Empowering Deep Learning@IJCNN 2018","Special Session on Empowering Deep Learning Models @ WCCI (IJCNN) 2018","Rio de Janeiro, Brazil"
"WCCI - 2018 (SI) 2018","SI: Non-iterative Approaches in Learning -- WCCI 2018","Rio de Janeiro, Brazil"
"KMLM 2018","Knowledge discovery and Machine Learning in a Multilingual context","Thessaloniki, Greece"
"DEC 2018","DataEngConf","San Francisco"
"ICPR 2018","24th International Conference on Pattern Recognition","Beijing, China"
"AISB SI & EC 2018","AISB 2018 Swarm Intelligence & Evolutionary Computation","Liverpool, United Kingdom"
"SciML 2018","DOE ASCR Scientific Machine Learning Workshop","North Bethesda, Maryland, USA"
"DLS 2018","1st Deep Learning and Security Workshop","San Francisco, CA"
"LOPAL 2018","International Conference on Learning and Optimization Algorithms: Theory and Applications ","Rabat, Morocco"
"MachineLearningMicroarrayAnalysis-LOPAL 2018","Special Session on Machine Learning for Microarray Analysis at LOPAL¡¯2018","Rabat, Morocco"
"IEEE CIM SI 2018","IEEE Computational Intelligence Magazine. Special Issue on Computational Intelligence in Finance and Economics","N/A"
"J.UCS  2018","NEW TRENDS IN SEMANTIC WEB-BASED APPLICATIONS","N/A"
"IEEE CIBCB 2018","2017 IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology","Saint Louis, MO, USA"
"MLRec 2018","MLRec 2018: 4th International Workshop on Machine Learning Methods for Recommender Systems (In conjunction with SDM 2018)","San Diego, CA, U.S.A"
"NIC 2018","Workshop on Nature Inspired Computing ","Naples, Italy"
"RCMKEIC 2017","Special Sections¡°Recent Computational Methods in Knowledge Engineering and Intelligence Computation¡±","N/A"
"SI-Telemecine JNCA 2018","Special Issue on Emerging Networked Computer Applications for Telemedicine, JNCA Journal (IF 3.500), Elsevier","N/A"
"NAACL HLT 2018","The 16th Annual Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies"," New Orleans, Louisiana"
"RCMKRL 2018","IEEE Access¡°Recent Computational Methods in Knowledge Engineering and Intelligence Computation¡±","N/A"
"BOCIA 2018","International Workshop on Benchmarking of Computational Intelligence Algorithms","Xiamen, China"
"VSI: DL-Fusion 2018","Special issue On ¡°Deep Learning for Information Fusion¡± - Information Fusion (Elsevier)","N/A"
"Emerging trends in ML@ESANN 2018","[Deadline Extended] Special Session - Emerging trends in machine learning: beyond conventional methods and data","Bruges (Belgium)"
"AMLD 2018","Applied Machine Learning Days","EPFL, Lausanne, Switzerland"
"ITNG 2018","15th International Conference on Information Technology- New Generations","Las Vegas"
"MIS2 @ WSDM 2018","Misinformation and Misbehavior Mining on the Web workshop","Los Angeles"
"Randomized Neural Networks - ESANN 2018","Randomized Neural Networks - Special Session @ ESANN 2018","Bruges, Belgium"
